Location[0]	Station-No.[1]	GeoX[2]	GeoY[3]	North[4]	East[5]	VehicleCount[6]	OpenParkingSpots (used only for onewaycarsharing)[7]	
2544	2544	4612223.386836318	5813656.075664879	-	-	1	
6636	6636	4593385.823278219	5818872.821560086	-	-	1	
9283	9283	4588738.46057584	5820982.745959595	-	-	1	
11342	11342	4576393.502638407	5822793.63765865	-	-	1	
7789	7789	4597639.374201035	5826860.132284025	-	-	1	
3254	3254	4624535.444168972	5826628.093737862	-	-	1	
3144	3144	4615301.875692143	5820231.799976801	-	-	1	
8525	8525	4602934.505276246	5827379.6782307355	-	-	1	
6722	6722	4594705.859566947	5807847.481240016	-	-	1	
11041	11041	4593997.072558329	5818859.090691137	-	-	1	
6575	6575	4590040.118795026	5827257.261607959	-	-	1	
5048	5048	4607518.40849257	5835644.232780139	-	-	1	
4372	4372	4594694.108868714	5796238.6702149175	-	-	1	
8365	8365	4588211.994669922	5819515.582421906	-	-	1	
9157	9157	4598403.600792477	5822922.833647619	-	-	1	
3009	3009	4612450.356110219	5817922.500427439	-	-	1	
7023	7023	4601873.299077656	5822228.735853368	-	-	1	
5631	5631	4597829.902423373	5809948.605541897	-	-	1	
2284	2284	4595289.035608601	5823573.209729797	-	-	1	
8252	8252	4591500.148816645	5817034.535811509	-	-	1	
3290	3290	4587418.600835761	5842450.249571868	-	-	1	
3542	3542	4593815.180476723	5857421.6901356215	-	-	1	
9489	9489	4600511.408144199	5818649.017425436	-	-	1	
10316	10316	4601743.99883101	5810701.297290393	-	-	1	
1405	1405	4583558.721711241	5832542.61905874	-	-	1	
3046	3046	4610236.961953745	5826666.253217904	-	-	1	
11620	11620	4591357.811416268	5811356.007162651	-	-	1	
458	458	4595132.994632749	5811460.434834283	-	-	1	
11673	11673	4582571.132030937	5812822.781311458	-	-	1	
3928	3928	4572668.228296442	5809011.486401338	-	-	1	
10000	10000	4592697.331487597	5827536.85718459	-	-	1	
10912	10912	4593319.229177055	5818438.683021558	-	-	1	
6567	6567	4604031.714436938	5833906.003655284	-	-	1	
5496	5496	4588538.919704569	5828729.073421248	-	-	1	
3673	3673	4586951.135688453	5848655.624612771	-	-	1	
8007	8007	4599607.513340717	5817212.460665213	-	-	1	
2676	2676	4596414.851335525	5824393.169582573	-	-	1	
6322	6322	4586657.926164891	5823061.349430301	-	-	1	
9222	9222	4596158.774676379	5810572.385843609	-	-	1	
7774	7774	4605022.471280148	5853744.087960821	-	-	1	
12096	12096	4590630.429315444	5810712.804940705	-	-	1	
